intent,text
"P
",Walk with Walgreens and get a FREE meditation when you sign up URL
"P
",Spotted Disaster Relief vehicles on the road here in Birmingham Thanks and kudos to the company for their firsthand help
"P
",Will Chitown get makeovers like this URL
"P
",mentioned again URL RT Omg the most beautiful woman just left walgreens inlove
"P
",Terrific online instant photo printing from FB acct amazingly by Can not wait to see if the kids dig Flat Stanleys adventures
"P
",Please Watch Donate URL Follow Support his humanitarian efforts Thanks
"P
",Good job on using the Alabama tornados as a marketing ploy I am sure saving on insurance will really comfort those affected smh
"P
",maybe it would be best if you have a heart to heart with I an sure they will help you in best way possible
"P
",I wonder if wants to hand out disney books to children who are victims of natural disasters
"P
",I really like your work is awesome They are so excellent please follow me Many greetings and hugs from Indonesia
"N
",Hey good hands huh Then why have I been on hold for hours Just curious
"P
",I really need to talk to the higher ups and get to support you Cause we put you in good hands
"P
",contact Branae for relief effort assistance at PHONE or PHONENUMBER
"O
",Just talked to someone who I am pretty sure was a robot notsatisfied
"P
",what did with their new teddy bear commercial was a total dirtification of true free noble capitalism
"P
",considering what those folks have to go through and now they are a commercial This is not insurance this is insult
"P
",Love the picture RT Not only I am advertising but as well URL
"P
",Love the picture RT Not only I am advertising but as well URL ^aw
"P
",Not only I am advertising but as well URL
"P
",Loved seeing the year flag on the sign from the on my drive home from work Proud to be an allstater in
"P
",is hosting a free socialmedia panel in Chicago w on NUMBER RSVP URL
"P
",Got to see who wins May Awards Gala tix URL
"P
",Now Randy from corporate called We are in an electronic system and he can not reach us but hes going to try Still hopeful
"P
",Love twitter Love s good hands Ellen from corporate called Looks like our house will be able to close
"P
",Its days like today that I am glad to have and accident forgiveness st fender bender but my rates will not go up noworries
"P
",Gota love the commercials
"P
",Just keep me in good hands RT saw your tweet thanks for the shout out ^cf
"P
",thank you Erica has already been in touch
"N
",I am not sure if I should be baffled happy or angry but FEMA assessed my damaged home before likeagoodneighborwhosoutoftown
"P
",Chicago marketers come to our free socialmedia panel w on NUMBER URL Please RT
"P
",Just got my birthday card from my agent its always so interesting
"P
",Premium insurance ads are so allservice inspiring that I wonder if is a front for an escort service Wheres my credit card
"P
",Pretty much in love with They always deliver no hassle just taking care of business with great reps
"P
",Just talked with Keith at my local agency He figured out how to save me USDNUMBERyear on my car insurance What a champ AllstateFTW
"P
",you took good care of me Tornado damage from Good Friday Was parked at wind threw the roof at my car HowRude
"P
",Take notes RT Its time for prom Share with your teen tips for safe driving on prom night URL
"P
",It only took a minute to level this town ad you stay classy Take a hint from email apology from last week
"N
",Honestly train your call center a bit more in English comprehension Not to be insensitive but huge problem for abnormal issues
"P
",To follow up is on the ball What good is a complaint if you can not follow it wpraise when they do good Thanks
"P
",To follow up is on the ball What good is a complaint if you can not follow it wpraise URL
"P
",called Jobus NUMBER apptmnt and moved it to Jobu going to try fastest sales pitch ever or quit and see if Pedro give Jobu job
"N
",Sorry but you need to change style of Internet options bcuz still like open the source and i will change it by myself
"P
",mate Bill Gates does not look after anymorethe big chief is now Steve Balmer xbox
"P
",URL n64 petition microsoft Rare conker xbox Please Sign This and pass
"P
",I shoot panoramas with my DSLR With s Photosynth app this eerience will reach the masses URL
"P
",HAPPY EASTER Everyone
"P
",Wonder why they signed a deal with then cc
"P
",Wonder what have planned for the next Xbox love to see a six core CPU Duel Core GPU and they can have those ideas
"P
",To Responsibly Disclose Vulnerabilities ITProPortal URL
"P
",Just sat through a session on the new Office the new software by Microsoft I LOVE IT Wow One Note will save me NatCoBE
"P
",dear how about releasing windows311 free and opensource justbecause cc URL
"P
",dear how about releasing windows311 free and opensource justbecause cc
"N
",I can not even pay for the functionality i get for free droid or IOS Please catch up Mozart user
"P
",Somehow I can see pouncing on the opportunity to show how reliable XboxLive is compared to PlaystationNetwork
"P
",nd cool Commercial featuring Jerry Seinfeld and URL
"P
",Cool Commercial featuring Jerry Seinfeld and URL
"P
",Well I guess I am an official Windows Phone and XBox developer now Hopefully will put my USDNUMBER to good use
"O
",products are like peanuts By themselves they are near pointless But in the crusher it can make good peanut butter
"P
",yeah but who uses Internet Elorer
"P
",Tune in to for Innovation Weekend see MSFT product demos including WindowsPhone URLhsn
"N
",IE8 does not support rounded corners and shadow so I have to do it in PS and save as png meaning kb vs kb Fuck you
"P
",great job on the photosynth app Much better quality than the onenote app Glad to see your stepping up your idevice game
"P
",So classic Windows Defender just got triggered by Silverlight URL OhTheIrony
"P
",if you include a quothare via URL feature in iOS photosynth and drop the silverlight requirement it will be usable
"N
",Hey let me elain to you how a fucking popup blocker works If I dismiss the blocked message DO NOT show me the popup
"O
",Not crazy about IE9 Whyd you move tabs Whats with the annoying bottom box for every blocked popup Yellow bar was better
"P
",Rock is giving away free certification exams at URL Time to work on that MCITP certification
"P
",Watch HSN for Innovation Weekend see MSFT product demos I work w ppl going onair can not wait URLhsn
"P
",filmed a commercial at our home for Photosynth Our house at minute NUMBER Glad to see the new iphone release URL
"P
",My favourite app at moment is s Photosynth for capturing panonamic images on iphone Its just brilliant free
"P
",Xbox360 controller for Windows is a godsend wait does that make a gaming god
"P
",SVG vs Canvas Great guide by at URL
"O
",Nice advert but I run Mac OS X IE9 does not work I can not find a the correct download URL
"N
",I love how msn contacts are randomly blocked sure know how to fuck with peoples patience
"P
",fringefriday may ve been renewed thanx productplacement sponsorship by evo4g 4g fordsync galaxytab
"P
",I wish Popfly was still around Great mashup creator before it was axed
"P
",Man who gave us the compact disc dies URL
"P
",st game was star trek on the service bureau u know now its called Cloud computing Azure
"P
",If you have not entered the Big Box of Awesome sweepstakes what are you waiting forURL
"P
",Win a Big Box of Awesome from Prize includes laptop a TV URL
"P
",Get rolling with the release of the Mango already I am ready to clean it URL
"N
",its a known issue by that outlook emails do not send when you hit sendno urgency to fixcan not believe they get away with this
"O
",RT Constant is in NYC for the predraft party Got questions for the players Ask here URL
"O
",Constant is in NYC for the predraft party Got questions for the players Ask here URL
"O
",Constant is in NYC for the predraft party Got questions for the players Click the link to ask URL
"O
",This in no way surprises me And I went with RT diet coke Sidebar I was a serial pasteeater I turned out OK
"O
",Low level of alert Out to find more URL
"O
",I can burp thru my nose
"O
",Drinking and listening to What about you guys
"O
",Sipping while listening to nowplaying goodmood
"O
",thanks da shout out bro
"O
",Yesterday was bubblegum flavoring in my today it was green apple flavoring I need a closer to me in
"O
",Lots of being mixed w the captain tonight at slumberparty URL
"O
",My soda with lunch today was with bubblegum flavoring Thank you for letting me try weird stuff
"O
",FOLLOW ME PLEASSE
"O
",ff
"O
",needs to see this RT My new fridge Priorities people URL
"P
",haha I wish I could use an
"O
",Sitting in the back of a van tilting it to one side with my obesity Drinking and wishing for warmer weather to sweat my fat off
"O
",Do not know how Id make it through the day without a or four
"O
",Check out our Draft Night Premiere video w + more URL
"P
",I am in dire need of some right now My house is coke free D
"O
",clinks her bottle Hey I am at work
"O
",lol you drank more water than I did at Disneyland if that helps I cheated and drank Only refilled water once
"O
",Listening to with my headphones while sipping nowplaying goodmood
"O
",It could come in Lime flavor too
"O
",I am still on my first might be ready for another soon wakemyassup royalwedding
"O
",dude is where its at
"O
",FF FabulousFriday
"O
",Some of our friends to follow FF
"O
",drinking and designing websites
"O
",URL
"O
",Special birthday FF
"O
",Authors Sign eBooks Electronically URL But when you figure it out will I need to buy a new Kindle
"O
",Catching up on my reading Water for Elephants before it opens in theaters JustSaying
"O
",Kindle Software updated but I do not see the page numbers yet
"O
",Spent my gift card on new Paul Simon album and Game Change for
"O
",My st book for the Circus Tent Full Of Ghost series will be available NUMBERNUMBER on the
"O
",Episode Featuring URL
"O
",Dr Tolbert EdD URL
"O
",Do you have an Amazon Twitter page for service delivery
"O
",you should license it to Amazon so that the Kindle app would STOP downloading its dictionary cc
"O
",FF
"O
",A Regular Guy Goes to Mars Listen to NPR talk URL Watch video read more here URL space
"O
",Why the Amazon Kindle Tablet Will Be Powered by Android Yahoo News URL android tech tablet
"O
",Book Geek Daily is out URL Top stories today via
"O
",I am going to download warandpeace on my evo for as a sleep aid No more need for booze and pills before bed
"O
",and need to integrate so I can send my noteshighlights to my goodreads account from the device books technology
"O
",where can I buy kindle from a store other than amazon
"O
",I have my copy on already
"O
",Question Can I get college textbooks on my Kindle
"O
",Network with Amazon Kindle this FollowFriday URL FF
"O
",can all books use the read text feature
"O
",You CAN do that on the
"O
",I discovered my + pd textbook was available from last night Returned the rental today wasnt sure I still be able
"O
",Goldbox Gold Box RT Get USDNUMBER off Today only RT Deal of the Day USDNUMBER Kindle DX Display F
"O
",Why did you get this over an iPad
"P
",Great customer service broke called them spoke w human being in sec immediately got shipped a new one
"O
",Watched a bit of Freakonomics on read a sample on now I must buy the book That one is next after Vintage Jesus
"O
",which did you download
"O
",FF Tweeps
"O
",would if i could
"O
",Check out URL RT Did I really run outta index cards Now i gotta goto Walgreens at least I c
"O
",I am NUMBER Us Highway Freehold URL +50pts
"O
",Twitter mentions for URL RT Spent USDNUMBER at walgreens saved USDNUMBER couponsFTW
"O
",Walgreens gets another mention URL RT At amazed how cheap walling sticks canes are
"O
",Ha Another mention for URL RT I gotta go pickup my picture at walgreens
"O
",URL +50pts
"O
",<<< GIANT BOTTLES OF USDKO DIET CHEMISTRY containing ASPARTAME ON YOUR SHELVES USDWAG
"O
",<<< GIANT BOTTLES OF ASPARTAME ON YOUR SHELVES USDWAG
"O
",<<< GIANT BOTTLES OF ASPARTAME ON YOUR SHELVES USDWAG Do you sell over the counter diet supplements
"O
",<<< GIANT BOTTLES OF ASPARTAME ON YOUR SHELVES USDWAG Do you sell diabetic treatments and devices
"O
",<<< I HAVE FOTOS OF GIANT BOTTLES OF ASPARTAME ON YOUR SHELVES <<< WHAT IS IT GONNA BE >>> USDWAG
"O
",Latest buzz for URL RT Going on a candy run But the Walgreens on North Artesian makes me
"O
",Buy Get off Cover Girl Cosmetics URL
"O
",URL +5pts
"O
",
"O
",I am NUMBER Pondroad Plza Freehold URL +50pts
"O
",website is not working when I try to go to the photo department link worstsundayever
"O
",The Childrens Hospital Clinic in Aurora sold out of my Busy Breathers LLC Oxygen Backpack already URL
"O
",Walgreens is buzzing again URL RT The line is dire Can not be helped I need Sudafed Stomach bo
"O
",Latest buzz and reviews for URL RT Omgggg something happened at walgreens Hella cop c
"O
",Everyone and their moms look like they buying allergy meds today
"O
",thanks I think I will try it
"O
",Arizona tea on sale USDNUMBER starting tomorrow
"O
",Please god give me this new job so I can quit and give my manager the finger
"O
",purchased more URL +50pts
"O
",Latest buzz for URL RT Im not an adultI just rode around in a shopping cart at a walgree
"O
",yes they do
"O
",Really One pharmacist working today
"O
",After visiting with prospective students at the STLCOP open house I will be visiting the on Lindell to see medicationdisposal
"O
",is buzzing URL RT goodnight world
"O
",goodnight world
"O
",I have spent more time in the last week than I have at work
"O
",ahhhaa I take it you got those little fellas
"O
",Moooooooooo Hah I just mooed at Walgreens URL +50pts
"O
",What is up with your pet policy varying at different stores
"O
",rocks Got bottles of arm and hammer detergent for USDNUMBER URL +50pts
"O
",Video of the Day URL Let us act NOW
"O
",The Digital Influence Daily is out URL Top stories today via
"O
",Bcuz the Rep said its not physical job the Broadcaster Never received payout for car accident hit from behind on hghwy
"O
",Why work in conjunction with when a Rep has stated That Broadcasting is not a physical job This is TJM livelihood
"O
",FF FollowFriday panel on NUMBER with cont URL
"O
",dear thanks again for screwing me over overdrawing my OLD bank acct by USDNUMBER preciate it
"O
",Twitter friends please consider following we will be posting mostly from there now ^KH
"O
",ismycallimportant amputee stillonhold pickuppickuppickup holdladyislyingtome
"O
",yrs wFla DFS AgentAgent Licensing Workshops on applying maintaining and appointing Florida Insurance agents
"O
",Usher with Akon Arena May URL via
"O
",probably NOT
"O
",the Motorcycle test drive one
"O
",the Christmas Tree one where he rolls off the car
"O
",Anybody know a good auto accident lawyer is trying to jerk me around
"O
",Hey please dont raise my rates I swear im a good person
"O
",<NUMBER Dennis Haysbert RT Small stuff brings big comfortLike Allstates teddy bear we give out in tough times URL
"O
",FF FollowFriday panel on NUMBER with URL
"O
",The Census is in Is your brand ready panel on NUMBER with URL
"O
",Sweetie Allstate agent got MANY calls from managers in home office after they read the story Oops Not his best day lol
"O
",Told Randy from that I said at a Chicago conference I wrote my st book in an Allstate both in a SEARS store The Trib quoted me
"O
",The SDL LSP Partners Daily is out URL Top stories today via
"O
",From the I intvw CEO Thomas Wilson Questions on floods tornadoes rates Their Q1 earnings QUADRUPLED before AL
"O
",Looking forward to panel on NUMBER with URL
"O
",Study says men dont always follow directions Plenty of wives couldve told you that GPS URL ^cf
"O
",Thomas Wilson CEO says the time has come for the Federal Govt to step in and fix how in the insurance URL
"O
",correction bathe worste commercials Im sorry
"O
",is looking at my car this morning
"O
",Carriers taking social media beyond branded pages A look at Aetnas social game and s use of LinkedIn URL
"O
",Hey stop calling me My auto quote was USDNUMBER more a month than what I currently pay
"O
",Who wins in a fight The Most Interesting Man in the World The Guy or s Mayhem adfights notouchingofthehairorface
"O
",You Gota Visit This LOA Club Site URL
"O
",In light of new IDOT policy on dooring could you share our site URL with IL drivers and minimize the mayhem
"O
",Could I interview you blog item I am working on about insurance companies and social media Do u have a philosophy twitter
"O
",Selling some insurance today for
"O
",Weekend Reading and make it official says come on over and maps the future URL
"O
",Maybe it was an Easter metaphor I can see your halo halo halo
"O
",Sort out your sites now All of them are redirecting to a login page which does not work
"O
",to Key Tech Earnings in Week ETF Trends URL
"O
",The Photosynth app by on iPhone is bloody brilliant
"O
",iup its official windows8 will be released in year at mostthe folks are in the vision2beta developing phase
"O
",Chart Do Apple Know Your Every Step Australia URL
"O
",Cloud Computing discussed at s Innovation Day Malta Independent Online URL
"O
",In this world of fuckups is with a legit disc of Win7 My EVGA board with an nVidia cont URL
"O
",says it has sold m licenses URL
"O
",Get Microsoft Windows Family Pack Upgrade For USDNUMBER URL coupons deals microsoft URL
"O
",Get Microsoft Windows Family Pack Upgrade For USDNUMBER URL software coupons deals discounts
"O
",wish sells for mac on Mac App Store All I need is just Word Not the complete bundle
"O
",Need For Speed
"O
",Zevrix BatchOutput for Word Featured in MacTreasureBundle The Open Press press release URL
"O
",in R U bored of regular Easter eggs Make geeky Easter eggs instead URL
"O
",Hey tech lover do not miss the URL w MAJOR tech speakers May th
"O
",Mac OS X Lion Opens Office Documents in Preview All about the iPhone URL
"O
",s CoFounder Paul Allen on Minutes thestockmasters URL
"O
",patients in England may be able to host their PHRs with and URL ^AM
"O
",HSN Innovation weekend sponsored by Acer computertablet USDNUMBER Wifi hotspot USDNUMBER Antivirus USDNUMBER Case USDNUMBER Total USDNUMBER
"O
",DOJ limits s purchase of Novell patents ITWorld Canada URL
"O
",is changing fees for certificaion tests See if you may be affected URL
"O
",How to make active Allow a device to connect when I use tray blootooh icon on Windows7
"O
",The Kinect is the NUMBER selling consumer electronic device of all time million units in the first days
"O
",and make it official says come on over and maps the future URL
"O
",We filled with WP7Dev class today Thx and for supporting AZGroups URL
"O
",With at her event
"O
",Iam back no thanks to Hotmail or if i had been useing it for business i would be bankrupt they hav no phone support becos ser
"N
",Drank soda today and now i cant sleep Damn you caffeine
"N
",ughhave a diet coke and its practically tasteless need a asap
"N
",How does a grocery store have every type of coke except for WTF
"N
",You are the only companyproduct where I would work on the barter system and I still think Id come out ahead sodaaddict
"N
",CautionCokeZero Addict Coke Zero BzzScape Discover share and rate content imabzzagent URL
"N
",I absolutely HATE when I run out needmorecokezero
"N
",Does drinking oz of count as getting my fluids if I am trying to get over a cold
"N
",Is there any difference in the ingredients of and Am confused
"N
",Yeah it was a morning today Hard to get going for some reason
"N
",Its the gloomy skiesandits Wednesdaygotta make it over the hump
"P
",for the record I am not only adjusted to the I actually prefer it to paper books
"N
",My is acting weird Top bar does not show up and there are two white lines |
"N
",When kindle will change its screensaversall the time appears the same ones some are ok some horrible I want new
"N
",should allow users to send a message to their kindle that would turn on an audible alarm so we can find our lost kindles
"N
",ebooks that are more eensive than the paper version = ludicrous As this is common my is becoming useless
"N
",The new video for the youtube account of focuses on the debating pros and conswith a funny weirdly twist
"N
",My kindle keeps freezing in sleep mode and I have to reset it Is this a fault
"P
",Last chance to save USDNUMBER on a Kindle DX with free G and access to over books Deal ends URL
"P
",Get USDNUMBER off Today only RT Deal of the Day USDNUMBER Kindle DX Display F URL
"N
",i hate when books are more eensive than the actual physical versions grrrrrrrrr
"N
",Ebook sales triple yearoveryear paper books decline in every category URL way to go
"N
",lefties can not use the DX otherwise Id get one
"N
",Thanks to my I have not left my house all daytalk about unproductive To bad my battery died back to reality
"P
",Last chance save USDNUMBER on Kindle DX w free G + access to + books Deal ends at midnight PST URL
"P
",Kindle DX RT Last chance to save USDNUMBER on a Kindle DX with free G and ac cont URL
"N
",do not act too quick might soon be obsolete URL
"N
",I want to know if In Search of Lost Time Feb contains all volumes It cost only USDNUMBER but v3 for ex cost USD NUMBER
"N
",Pissed that can not just credit my order made yesterday for USDNUMBER off the DX Apparently I have to return it and get a new one
"N
",Get USDNUMBER off Today only RT Deal of the Day USDNUMBER Kindle DX cont URL
"N
",Score Kindle DX for USDNUMBER today regularly USDNUMBER URL
"N
",Before I get busy and forget Still reading Jane Eyre by Charlotte Bronte fridayreads publicdomainbooks
"N
",Latest buzz for URL RT A snap bracelet I swear I get the dumbest things at Walgreens
"N
",At amazed how cheap walling sticks canes are
"N
",This bitch has a ankle jail thing on her haha
"N
",The line is dire Can not be helped I need Sudafed Stomach bothering me too
"N
",Really foursquare no points for my checkin to because my phone did not think I was nearby I was INSIDE fail gpsfail
"N
",Cashiers at move slower than shit
"N
",yes buyin stuff from the girly section Shudda got a pix of shame
"N
",Got have sales to show the sharks That I do and shelf space at some stores wmy bag SharkTank Vomit Bag or Ecomower did not
"N
",Walking through singing quotmoke On The Water outloud and the manager told me Rock On fb
"N
",Srsly ridiculous Dear stop hiring disorganizedloopy pharmacists Thank you
"N
",I always forget how I loathe I do not care how much discomfort I am in next time I am sucking up the drive to a better pharmacy
"N
",sux i do not know why i continue to try to get rxs there they never get it right and never admit fault
"N
",commercials are very boring
"N
",Trying to fix the mess that made of my accounts Wachovia Bank URL
"N
",I just switched to after years with GEICO for auto insurance HUGE MISTAKE terrible service from their offshore call center
"N
",Anyone else bothered that had manpower to film commercial in wreckage but I can not get an adjuster to my house fail
"N
",I HEART Randy Lewis of catastrophic claims unit who found me an adjuster so house can close and we can move to WA as scheduled
"N
",You have zero professionality and no tact I hope you pull your teddy bear commercial it was highly offensive
"N
",Mayhem RT Why use a hedge trimmer when you can use a chainsaw
"N
",Ugh has THE hardest password requirements of any online billpay site I use I end up just resetting my password each time
"N
",Thanks Just want to get to new house Remain hopeful while feeling so bad for all the others with horrible storm losses
"N
",Truly sorry those who lost lives homes but if adjuster does not check storm roof in the next week house sale will fall thru
"N
",just lost a potential customer too long of hold time wo music BadBusiness
"N
",Who gives a flying crap what an insurance agent wants
"N
",does anyone else find it to be in poor taste that is showing tornado devastation to sell their insurance right now
"N
",I Dont Want Spam u But Please Do not Ignore Me I Just Wanna Say u Great I Love ur Job Please Follow Me It Would Make My Day
"N
",no particular commercial is my favoriteI am just a fan
"N
",Tried to go back to after pulled a baitandswitch on me but Flo decided to QUADRUPLE my old policy Now with
"N
",Kind of frustrated with surely I am not the only person in the world who wants a multi policy discount in diff statesright
"N
",fuck you you did not give me the update but merely sent me the halo reach disc
"N
",sony lost alot of money due to their psn being down on easter weekendmadness totally pwnd this week xbox
"N
",have to prepare for a exam n dnt feel like studying damn these stored procs y the hell they hv so diff syntx
"N
",If your drunk should play kinect <agreed
"N
",Slow Down Processor By Ending Unneccessary Processes
"N
",Amazons Cloud Burst and What it Means to News URL
"N
",apparently half my visits are from IE users Seriously considering an IE only screen with a link to ChromeFirefox
"N
",I just purchased a copy of the upgrade family pack downloaded installed and told the key is invalid
"N
",Cont Or you could just by an Ipad and avoid the hassel of anything
"N
",pretends to feel bad for Sonys PSN downtime laughs in secret Ubergizmo blog URL
N,Goodnees knows what i hav lost due to Hotmail failure to reinstate my password support next to useless
